politician,party,chamber,committee,ticker,action,trade_date,disclosure_date,amount_min,amount_max
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2020-01-24,2020-02-07,500001,1000000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2020-02-10,2020-02-28,250001,500000
Nancy Pelosi,D,House,Rules,GOOGL,Purchase,2020-04-06,2020-04-20,250001,500000
Nancy Pelosi,D,House,Rules,NVDA,Purchase,2020-06-18,2020-07-02,500001,1000000
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2020-10-22,2020-11-03,500001,1000000
Nancy Pelosi,D,House,Rules,TSLA,Purchase,2021-01-07,2021-01-21,500001,1000000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2021-03-19,2021-04-09,500001,1000000
Nancy Pelosi,D,House,Rules,GOOGL,Purchase,2021-07-26,2021-08-09,500001,1000000
Nancy Pelosi,D,House,Rules,NVDA,Purchase,2021-10-22,2021-11-04,250001,500000
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2021-12-17,2021-12-30,250001,500000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2022-01-21,2022-02-04,250001,500000
Nancy Pelosi,D,House,Rules,GOOGL,Sale,2022-06-17,2022-07-01,250001,500000
Nancy Pelosi,D,House,Rules,NVDA,Sale,2022-07-26,2022-08-09,250001,500000
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2022-09-16,2022-09-30,250001,500000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2022-11-18,2022-12-02,250001,500000
Nancy Pelosi,D,House,Rules,NVDA,Purchase,2023-06-16,2023-07-14,250001,500000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2023-06-16,2023-07-14,500001,1000000
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2024-01-17,2024-02-16,250001,500000
Nancy Pelosi,D,House,Rules,PANW,Purchase,2024-01-17,2024-02-16,100001,250000
Nancy Pelosi,D,House,Rules,GOOGL,Purchase,2024-03-14,2024-04-12,250001,500000
Nancy Pelosi,D,House,Rules,NVDA,Purchase,2024-06-20,2024-07-19,500001,1000000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2024-09-05,2024-10-04,250001,500000
Nancy Pelosi,D,House,Rules,AAPL,Purchase,2024-11-08,2024-12-07,500001,1000000
Nancy Pelosi,D,House,Rules,NVDA,Purchase,2025-01-10,2025-02-08,500001,1000000
Nancy Pelosi,D,House,Rules,GOOGL,Purchase,2025-03-14,2025-04-12,250001,500000
Nancy Pelosi,D,House,Rules,MSFT,Purchase,2025-06-18,2025-07-17,250001,500000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2020-02-14,2020-03-14,50001,100000
Michael McCaul,R,House,Armed Services,RTX,Purchase,2020-04-20,2020-05-05,50001,100000
Michael McCaul,R,House,Armed Services,NOC,Purchase,2020-07-15,2020-08-05,50001,100000
Michael McCaul,R,House,Armed Services,GD,Purchase,2020-09-22,2020-10-06,50001,100000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2021-02-10,2021-02-25,50001,100000
Michael McCaul,R,House,Armed Services,BA,Purchase,2021-05-12,2021-06-01,50001,100000
Michael McCaul,R,House,Armed Services,RTX,Purchase,2021-08-16,2021-09-05,100001,250000
Michael McCaul,R,House,Armed Services,NOC,Purchase,2021-11-09,2021-11-29,100001,250000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2022-01-28,2022-02-17,100001,250000
Michael McCaul,R,House,Armed Services,GD,Purchase,2022-03-14,2022-04-03,100001,250000
Michael McCaul,R,House,Armed Services,RTX,Purchase,2022-06-09,2022-06-29,100001,250000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2023-03-10,2023-04-05,50001,100000
Michael McCaul,R,House,Armed Services,RTX,Purchase,2023-05-22,2023-06-15,50001,100000
Michael McCaul,R,House,Armed Services,NOC,Purchase,2023-08-14,2023-09-07,100001,250000
Michael McCaul,R,House,Armed Services,GD,Purchase,2023-11-06,2023-11-30,100001,250000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2024-02-20,2024-03-15,100001,250000
Michael McCaul,R,House,Armed Services,BA,Purchase,2024-05-13,2024-06-06,50001,100000
Michael McCaul,R,House,Armed Services,RTX,Purchase,2024-08-07,2024-08-31,100001,250000
Michael McCaul,R,House,Armed Services,NOC,Purchase,2024-10-22,2024-11-15,100001,250000
Michael McCaul,R,House,Armed Services,LMT,Purchase,2025-01-14,2025-02-07,100001,250000
Michael McCaul,R,House,Armed Services,GD,Purchase,2025-04-08,2025-05-02,100001,250000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2020-03-18,2020-04-07,15001,50000
Ro Khanna,D,House,Armed Services,AAPL,Purchase,2020-05-20,2020-06-09,15001,50000
Ro Khanna,D,House,Armed Services,MSFT,Purchase,2020-08-14,2020-09-03,15001,50000
Ro Khanna,D,House,Armed Services,GOOGL,Purchase,2020-11-09,2020-11-29,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2021-03-22,2021-04-11,15001,50000
Ro Khanna,D,House,Armed Services,TSLA,Purchase,2021-06-07,2021-06-27,15001,50000
Ro Khanna,D,House,Armed Services,AAPL,Purchase,2021-09-13,2021-10-03,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2022-02-07,2022-02-27,15001,50000
Ro Khanna,D,House,Armed Services,MSFT,Purchase,2022-05-16,2022-06-05,15001,50000
Ro Khanna,D,House,Armed Services,AAPL,Purchase,2022-08-09,2022-08-29,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2023-01-23,2023-02-12,15001,50000
Ro Khanna,D,House,Armed Services,MSFT,Purchase,2023-04-17,2023-05-07,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2023-09-05,2023-09-28,15001,50000
Ro Khanna,D,House,Armed Services,AAPL,Purchase,2023-12-11,2024-01-04,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2024-03-07,2024-03-30,15001,50000
Ro Khanna,D,House,Armed Services,MSFT,Purchase,2024-07-01,2024-07-24,15001,50000
Ro Khanna,D,House,Armed Services,GOOGL,Purchase,2024-10-08,2024-10-31,15001,50000
Ro Khanna,D,House,Armed Services,NVDA,Purchase,2025-02-10,2025-03-05,50001,100000
Ro Khanna,D,House,Armed Services,AAPL,Purchase,2025-05-12,2025-06-05,15001,50000
Dan Crenshaw,R,House,Intelligence,NVDA,Purchase,2020-06-15,2020-07-05,15001,50000
Dan Crenshaw,R,House,Intelligence,MSFT,Purchase,2020-09-14,2020-10-04,15001,50000
Dan Crenshaw,R,House,Intelligence,AAPL,Purchase,2021-01-11,2021-01-31,15001,50000
Dan Crenshaw,R,House,Intelligence,GOOGL,Purchase,2021-04-19,2021-05-09,15001,50000
Dan Crenshaw,R,House,Intelligence,NVDA,Purchase,2021-08-09,2021-08-29,15001,50000
Dan Crenshaw,R,House,Intelligence,MSFT,Purchase,2022-01-18,2022-02-07,15001,50000
Dan Crenshaw,R,House,Intelligence,AAPL,Purchase,2022-05-10,2022-05-30,15001,50000
Dan Crenshaw,R,House,Intelligence,NVDA,Purchase,2022-09-14,2022-10-04,15001,50000
Dan Crenshaw,R,House,Intelligence,MSFT,Purchase,2023-02-13,2023-03-05,15001,50000
Dan Crenshaw,R,House,Intelligence,NVDA,Purchase,2023-07-10,2023-07-30,15001,50000
Dan Crenshaw,R,House,Intelligence,AAPL,Purchase,2023-11-06,2023-11-26,15001,50000
Dan Crenshaw,R,House,Intelligence,NVDA,Purchase,2024-04-08,2024-04-28,15001,50000
Dan Crenshaw,R,House,Intelligence,MSFT,Purchase,2024-08-12,2024-09-01,15001,50000
Dan Crenshaw,R,House,Intelligence,GOOGL,Purchase,2025-01-20,2025-02-09,15001,50000
Mark Green,R,House,Homeland Security,PLTR,Purchase,2020-04-27,2020-05-17,15001,50000
Mark Green,R,House,Homeland Security,MSFT,Purchase,2020-07-13,2020-08-02,15001,50000
